ICB Sub location,GP_ODS_CODE,GP_NAME,GP_GPAD_SYSTEMS,GP_SYSTEM
84H,A83072,LANCHESTER MEDICAL CENTRE,TPP,TPP
84H,A83073,DRS LAMBERT & NG,TPP,TPP
84H,A83074,PEASE WAY MEDICAL CENTRE,TPP,TPP
84H,A83075,BYRON MEDICAL PRACTICE,TPP,TPP
84H,A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,TPP,TPP
84H,A83616,BEVAN MEDICAL GROUP,TPP,TPP
84H,A83617,BROWNEY HOUSE SURGERY,TPP,TPP
84H,A83618,OAKFIELDS HEALTH GROUP,TPP,TPP
84H,A83619,SOUTHDENE MEDICAL CENTRE,TPP,TPP
84H,A83622,THE HAVEN SURGERY,TPP,TPP
84H,A83626,EVENWOOD MEDICAL PRACTICE,TPP,TPP
84H,A83627,SILVERDALE FAMILY PRACTICE,TPP,TPP
84H,A83634,WEST CORNFORTH MEDICAL CENTRE,TPP,TPP
84H,A83635,BOWBURN MEDICAL CENTRE,TPP,TPP
84H,A83636,LEADGATE SURGERY,TPP,TPP
84H,A83637,VILLAGES MEDICAL GROUP,TPP,TPP
16C,A83641,PARKGATE SURGERY,TPP,TPP
84H,A83644,ANNFIELD PLAIN SURGERY,EMIS,EMIS
00L,A84002,THE ROTHBURY PRACTICE,TPP,TPP
00L,A84005,BEDLINGTONSHIRE MED.GROUP,TPP,TPP
00L,A84006,ALNWICK MEDICAL GROUP,TPP,TPP
00L,A84007,PONTELAND MEDICAL GROUP,TPP,TPP
00L,A84008,BELFORD MEDICAL PRACTICE,TPP,TPP
00L,A84009,RAILWAY MEDICAL GROUP,EMIS,EMIS
00L,A84011,WHITE MEDICAL GROUP,EMIS,EMIS
00L,A84013,THE GABLES MEDICAL GROUP,TPP,TPP
00L,A84014,MARINE MEDICAL GROUP,TPP,TPP
00L,A84016,PRUDHOE MEDICAL GROUP,TPP,TPP
00L,A84018,CORBRIDGE HEALTH CENTRE,EMIS,EMIS
00L,A84020,GUIDEPOST MEDICAL GROUP,TPP,TPP
00L,A84022,COQUET MEDICAL GROUP,TPP,TPP
00L,A84024,BURN BRAE MEDICAL GROUP,EMIS,EMIS
00L,A84025,CRAMLINGTON MEDICAL GROUP,TPP,TPP
00L,A84026,WELL CLOSE MEDICAL GROUP,TPP,TPP
00L,A84027,BELLINGHAM PRACTICE,TPP,TPP
00L,A84028,SEATON PARK MEDICAL GROUP,TPP,TPP
00L,A84029,NORTHUMBERLAND HEALTH,TPP,TPP
00L,A84030,VILLAGE MEDICAL GROUP,TPP,TPP
00L,A84031,GREYSTOKE SURGERY,TPP,TPP
00L,A84033,THE SELE MEDICAL PRACTICE,EMIS,EMIS
00L,A84034,HALTWHISTLE MEDICAL GROUP,EMIS,EMIS
00L,A84035,RIVERSDALE SURGERY,TPP,TPP
00L,A84036,VALENS MEDICAL PARTNERSHIP,TPP,TPP
00L,A84037,NETHERFIELD HOUSE,TPP,TPP
00L,A84038,FORUM FAMILY PRACTICE,TPP,TPP
00L,A84039,GAS HOUSE LANE SURGERY,TPP,TPP
00L,A84040,HUMSHAUGH & WARK MED GRP,EMIS,EMIS
00L,A84042,SCOTS GAP MEDICAL GROUP,EMIS,EMIS
00L,A84044,UNION BRAE & NORHAM PRAC,TPP,TPP
00L,A84045,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,TPP,TPP
00L,A84047,BRANCH END SURGERY,TPP,TPP
00L,A84604,WOOLER HEALTH,TPP,TPP
00L,A84614,THE ADDERLANE SURGERY,EMIS,EMIS
00L,A84619,ELSDON AVENUE SURGERY,TPP,TPP
13T,A85001,FELL TOWER MEDICAL CENTRE,EMIS,EMIS
13T,A85002,BENSHAM FAMILY PRACTICE,EMIS,EMIS
13T,A85004,LONGRIGG MEDICAL CENTRE,EMIS,EMIS
13T,A85005,OXFORD TCE & RAWLING RD MEDICAL GROUP,EMIS,EMIS
13T,A85006,GLENPARK & TEAMS MEDICAL SERVICES,EMIS,EMIS
13T,A85007,FELL COTTAGE SURGERY,EMIS,EMIS
13T,A85008,BIRTLEY MEDICAL GROUP,EMIS,EMIS
13T,A85009,CROWHALL MEDICAL CENTRE,EMIS,EMIS
13T,A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,EMIS,EMIS
13T,A85011,ST. ALBANS MEDICAL GROUP,EMIS,EMIS
13T,A85013,MILLENNIUM FAMILY PRACTICE,EMIS,EMIS
13T,A85014,CRAWCROOK MEDICAL CENTRE,EMIS,EMIS
13T,A85016,WREKENTON MEDICAL GROUP,EMIS,EMIS
13T,A85017,BEWICK ROAD SURGERY,EMIS,EMIS
13T,A85018,OLDWELL SURGERY,EMIS,EMIS
13T,A85019,CENTRAL GATESHEAD MEDICAL GROUP,EMIS,EMIS
13T,A85020,WHICKHAM COTTAGE MEDICAL CENTRE,EMIS,EMIS
13T,A85021,SECOND STREET SURGERY,EMIS,EMIS
13T,A85024,CHOPWELL PRIMARY HEALTHCARE CENTRE,EMIS,EMIS
13T,A85026,BEACON VIEW MEDICAL CENTRE,EMIS,EMIS
13T,A85611,PELAW MEDICAL PRACTICE,EMIS,EMIS
13T,A85614,THE BRIDGES MEDICAL PRACTICE,EMIS,EMIS
13T,A85616,HOLLYHURST MEDICAL CENTRE,EMIS,EMIS
13T,A85617,SUNNISIDE SURGERY,EMIS,EMIS
13T,A86003,SAVILLE MEDICAL GROUP,EMIS,EMIS
13T,A86004,PROSPECT MEDICAL CENTRE,TPP,TPP
99C,A86005,WEST FARM SURGERY,TPP,TPP
13T,A86006,ROSEWORTH SURGERY,TPP,TPP
13T,A86008,PARK MEDICAL GROUP,TPP,TPP
13T,A86010,BIDDLESTONE HEALTH GROUP,TPP,TPP
13T,A86011,WALKER MEDICAL GROUP,TPP,TPP
13T,A86012,WEST ROAD MEDICAL CENTRE,TPP,TPP
13T,A86013,DENTON PARK MEDICAL GROUP,TPP,TPP
99C,A86016,LANE END SURGERY,TPP,TPP
13T,A86017,CRUDDAS PARK SURGERY,EMIS,EMIS
13T,A86018,THE GROVE MEDICAL GROUP,TPP,TPP
13T,A86020,JESMOND HEALTH PARTNERSHIP,TPP/EVERGREENLIFE,TPP
13T,A86021,HOLMSIDE MEDICAL GROUP,EMIS,EMIS
13T,A86022,PARKWAY MEDICAL GROUP,TPP,TPP
13T,A86023,BENFIELD PARK MEDICAL GROUP,TPP,TPP
13T,A86024,HEATON ROAD SURGERY,TPP,TPP
13T,A86025,WESTERHOPE MEDICAL GROUP,EMIS,EMIS
13T,A86026,THROCKLEY PRIMARY CARE CENTRE,TPP,TPP
13T,A86027,NEWCASTLE MEDICAL CENTRE,TPP,TPP
13T,A86028,REGENT MEDICAL CENTRE,TPP,TPP
13T,A86029,THORNFIELD MEDICAL GROUP,TPP,TPP
13T,A86030,BETTS AVENUE MEDICAL GROUP,TPP,TPP
13T,A86031,FENHAM HALL SURGERY,EMIS,EMIS
13T,A86033,BRUNTON PARK,TPP,TPP
13T,A86037,ELSWICK FAMILY PRACTICE,TPP,TPP
13T,A86038,NEWBURN SURGERY,TPP,TPP
13T,A86040,ST. ANTHONY'S HEALTH CENTRE,TPP,TPP
99C,A86041,SWARLAND AVENUE SURGERY,TPP,TPP
13T,A86601,DENTON TURRET MEDICAL CENTRE,TPP,TPP
99C,A87002,SPRING TERRACE HEALTH CENTRE,TPP,TPP
99C,A87004,COLLINGWOOD HEALTH GROUP,TPP,TPP
99C,A87005,WHITLEY BAY HEALTH CENTRE,TPP,TPP
99C,A87007,STEPHENSON PARK HEALTH GROUP,TPP,TPP
99C,A87008,MARINE AVENUE MEDICAL CTR,EMIS,EMIS
99C,A87009,PRIORY MEDICAL GROUP,TPP,TPP
99C,A87011,BEAUMONT PARK SURGERY,TPP,TPP
99C,A87012,WIDEOPEN MEDICAL CENTRE,TPP,TPP
99C,A87013,BEWICKE MEDICAL CENTRE,EMIS,EMIS
99C,A87016,THE VILLAGE GREEN SURGERY,EMIS,EMIS
99C,A87017,WOODLANDS PARK HEALTH CTR,TPP,TPP
99C,A87020,BRIDGE AND MONKSEATON MEDICAL PRACTICE,TPP,TPP
99C,A87022,NORTHUMBERLAND PARK MEDICAL GROUP,TPP,TPP
99C,A87029,HADRIAN HEALTH CENTRE,EMIS,EMIS
99C,A87030,REDBURN PARK MEDICAL CENTRE,TPP,TPP
99C,A87612,WELLSPRING MEDICAL PRACT.,TPP,TPP
99C,A87615,MALLARD MEDICAL PRACTICE,TPP,TPP
00N,A88001,VICTORIA MEDICAL CENTRE,EMIS,EMIS
00N,A88002,FARNHAM MEDICAL CTR.,EMIS,EMIS
00N,A88003,MARSDEN MEDICAL GROUP,EMIS,EMIS
00N,A88004,MAYFIELD MEDICAL GROUP,EMIS,EMIS
00N,A88005,WENLOCK ROAD SURGERY,EMIS,EMIS
00N,A88006,TALBOT MEDICAL CENTRE,EMIS,EMIS
00N,A88008,TRINITY MEDICAL CENTRE,EMIS,EMIS
00N,A88009,DR THORNILEY-WALKER & PARTNERS,EMIS,EMIS
00N,A88010,ALBERT ROAD SURGERY,EMIS,EMIS
00N,A88012,ELLISON VIEW SURGERY,EMIS,EMIS
00N,A88013,CENTRAL SURGERY,EMIS,EMIS
00N,A88014,WEST VIEW SURGERY,EMIS,EMIS
00N,A88015,ST GEORGE & RIVERSIDE MEDICAL PRACTICE,EMIS,EMIS
00N,A88016,COLLIERY COURT MEDICAL GROUP,EMIS,EMIS
00N,A88022,THE GLEN MEDICAL GROUP,EMIS,EMIS
00N,A88023,WHITBURN SURGERY,EMIS,EMIS
00N,A88025,THE G.P.SUITE,EMIS,EMIS
00N,A88601,IMEARY MEDICAL GROUP,EMIS,EMIS
00N,A88608,RAVENSWORTH SURGERY,EMIS,EMIS
00N,A88613,EAST WING PRACTICE,EMIS,EMIS
00P,A89001,DEERNESS PARK MEDICAL GROUP,EMIS,EMIS
00P,A89002,RIVERVIEW SURGERY,EMIS,EMIS
00P,A89004,HETTON GROUP PRACTICE,EMIS,EMIS
00P,A89005,VILLETTE SURGERY,EMIS,EMIS
00P,A89006,WEARSIDE MEDICAL PRACTICE - PALLION,EMIS,EMIS
00P,A89007,PALLION FAMILY PRACTICE,EMIS,EMIS
00P,A89008,RED HOUSE MEDICAL CENTRE,EMIS,EMIS
00P,A89009,HERRINGTON MEDICAL CENTRE,EMIS,EMIS
00P,A89010,THE STEPHENSON MEDICAL PRACTICE,EMIS,EMIS
00P,A89011,VILLAGE SURGERY PARTNERSHIP,EMIS,EMIS
00P,A89012,GALLERIES MEDICAL PRACTICE,EMIS,EMIS
00P,A89013,THE NEW CITY MEDICAL GROUP,EMIS,EMIS
00P,A89015,"FULWELL MEDICAL CENTRE,",EMIS,EMIS
00P,A89016,ST BEDE MEDICAL CENTRE,EMIS,EMIS
00P,A89017,MILLFIELD MEDICAL GROUP,EMIS,EMIS
00P,A89018,ASHBURN MEDICAL CENTRE,EMIS,EMIS
00P,A89019,BRIDGE VIEW MEDICAL GROUP,EMIS,EMIS
00P,A89020,FORGE MEDICAL PRACTICE,EMIS,EMIS
00P,A89021,KEPIER MEDICAL PRACTICE,EMIS,EMIS
00P,A89022,CONCORD MEDICAL PRACTICE,EMIS,EMIS
00P,A89023,"HOUGHTON MEDICAL GROUP,",EMIS,EMIS
00P,A89024,THE BROADWAY MEDICAL PRACTICE,EMIS,EMIS
00P,A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,EMIS,EMIS
00P,A89026,NEW WASHINGTON MEDICAL GROUP,EMIS,EMIS
00P,A89027,SPRINGWELL MEDICAL GROUP,EMIS,EMIS
00P,A89028,GRANGEWOOD SURGERY,EMIS,EMIS
00P,A89030,WESTBOURNE MEDICAL GROUP,EMIS,EMIS
00P,A89031,HYLTON MEDICAL GROUP,EMIS,EMIS
00P,A89032,NEW SILKSWORTH MEDICAL PRACTICE,EMIS,EMIS
00P,A89034,PARK LANE PRACTICE,EMIS,EMIS
00P,A89035,SOUTHLANDS MEDICAL GROUP,EMIS,EMIS
00P,A89036,CASTLETOWN MEDICAL CENTRE,EMIS,EMIS
00P,A89040,MONKWEARMOUTH HEALTH CENTRE,EMIS,EMIS
00P,A89041,HAPPY HOUSE SURGERY,EMIS,EMIS
00P,A89614,SUNDERLAND GP ALLIANCE SOUTH HYLTON SURG,EMIS,EMIS
00P,A89616,RICKLETON MEDICAL CENTRE,EMIS,EMIS
00P,A89617,I J HEALTHCARE,EMIS,EMIS
00P,A89623,CHESTER SURGERY,EMIS,EMIS
03H,B81003,BEACON MEDICAL,TPP,TPP
02Y,B81004,"EASTGATE MEDICAL GROUP, HORNSEA",EMIS,EMIS
03K,B81005,THE CENTRAL SURGERY BARTON,TPP,TPP
02Y,B81006,HUMBER PRIMARY CARE,TPP,TPP
03K,B81007,WINTERTON MEDICAL PRACTICE,TPP,TPP
03F,B81008,HULL FAMILY PRACTICE,TPP,TPP
02Y,B81009,MARKET WEIGHTON GROUP PRACTICE,TPP,TPP
03F,B81011,KINGSTON HEALTH (HULL),TPP,TPP
03H,B81012,DR AP KUMAR,TPP,TPP
02Y,B81013,MONTAGUE MEDICAL PRACTICE,TPP,TPP
03H,B81015,CLEE MEDICAL CENTRE,TPP,TPP
03H,B81016,PELHAM MEDICAL GROUP,EMIS,EMIS
03F,B81017,THE QUAYS MEDICAL PRACTICE,TPP,TPP
03F,B81018,ORCHARD 2000 GROUP,TPP,TPP
03F,B81020,THE SUTTON MANOR SURGERY,TPP,TPP
03K,B81022,CAMBRIDGE AVENUE & MESSINGHAM MC,TPP,TPP
02Y,B81024,WILLERBY AND SWANLAND SURGERY,EMIS,EMIS
02Y,B81025,HOLDERNESS HEALTH,TPP,TPP
03K,B81026,ANCORA MEDICAL PRACTICE,TPP,TPP
03F,B81027,ST ANDREWS SURGERY,TPP,TPP
02Y,B81029,THE SNAITH AND RAWCLIFFE MEDICAL GROUP,EMIS,EMIS
03H,B81030,SLC MEDICAL GROUP,TPP,TPP
03H,B81031,WOODFIELD MEDICAL,EMIS,EMIS
03F,B81032,WILBERFORCE SURGERY,TPP,TPP
02Y,B81034,LEVEN & BEEFORD MEDICAL PRACTICE,EMIS,EMIS
03F,B81035,THE AVENUES MEDICAL CENTRE,TPP,TPP
03Q,B81036,POCKLINGTON GROUP PRACTICE,EMIS,EMIS
02Y,B81037,THE PARK SURGERY,EMIS,EMIS
03F,B81038,THE OAKS MEDICAL CENTRE,EMIS,EMIS
03H,B81039,THE ROXTON PRACTICE,TPP/EVERGREENLIFE,TPP
03F,B81040,DR JAD WEIR & PARTNERS,TPP,TPP
02Y,B81041,GILBERDYKE HEALTH CENTRE,TPP,TPP
02Y,B81042,MANOR ROAD SURGERY,TPP,TPP
03K,B81043,SOUTH AXHOLME PRACTICE,EMIS,EMIS
03K,B81045,ASHBY TURN PRIMARY CARE PARTNERS,TPP,TPP
03F,B81046,THE BRIDGE GROUP PRACTICE,TPP,TPP
03F,B81047,WOLSELEY MEDICAL CENTRE,TPP,TPP
03F,B81048,MODALITY PARTNERSHIP (HULL),TPP,TPP
02Y,B81051,OLD FIRE STATION SURGERY,EMIS,EMIS
03F,B81054,CLIFTON HOUSE MEDICAL CENTRE,TPP,TPP
02Y,B81061,THE RIDINGS MEDICAL GROUP,TPP,TPP
03K,B81063,BRIDGE STREET SURGERY,EMIS,EMIS
03K,B81064,CHURCH LANE MEDICAL CENTRE,TPP,TPP
02Y,B81068,BARTHOLOMEW MEDICAL GROUP,TPP,TPP
02Y,B81069,DRS REDDY AND NUNN,TPP,TPP
03F,B81074,CITY HEALTH PRACTICE LTD,TPP,TPP
03F,B81075,HASTINGS MEDICAL CENTRE,EMIS,EMIS
02Y,B81082,NORTH BEVERLEY MEDICAL CENTRE,TPP,TPP
03F,B81085,HAXBY GROUP HULL,TPP,TPP
03H,B81087,BIRKWOOD MEDICAL CENTRE,TPP,TPP
02Y,B81088,HOWDEN MEDICAL PRACTICE,TPP,TPP
03K,B81090,THE OSWALD ROAD MEDICAL SURGERY,TPP,TPP
03H,B81091,LITTLEFIELD SURGERY,EMIS,EMIS
